filename,ground_truth,strategy,predicted_label,fake_probability,real_probability,confidence,width,height,resolution_bucket,inference_time_ms,multiscale_g_score,multiscale_c_score,multiscale_t_score,multiscale_disagreement,multiscale_highlighted_count
real_1.jpg,REAL,resize,FAKE,0.9999998807907104,1.1668996791058817e-07,0.9999998807907104,128,128,64–255,20.15,,,,,
real_1.jpg,REAL,patch,FAKE,0.9999998411286577,1.5368420215725938e-07,0.9999998411286577,128,128,64–255,141.68,,,,,
real_1.jpg,REAL,tta,FAKE,0.9963063051770482,0.0036936948229517874,0.9963063051770482,128,128,64–255,70.01,,,,,
real_1.jpg,REAL,hybrid,FAKE,0.999999964237213,3.576278695405222e-08,0.999999964237213,128,128,64–255,320.19,,,,,
real_1.jpg,REAL,auto,FAKE,0.9999998411286577,1.5368420215725938e-07,0.9999998411286577,128,128,64–255,148.16,,,,,
real_1.jpg,REAL,multiscale,FAKE,1.0,0.0,1.0,128,128,64–255,284.05,1.0,1.0,1.0,0.0,10.0
real_2.jpg,REAL,resize,FAKE,0.838378369808197,0.1616216003894806,0.838378369808197,600,600,512–1023,22.65,,,,,
real_2.jpg,REAL,patch,FAKE,0.999999678226313,3.247969813593436e-07,0.999999678226313,600,600,512–1023,417.55,,,,,
real_2.jpg,REAL,tta,FAKE,0.8802526507266479,0.11974734927335207,0.8802526507266479,600,600,512–1023,89.51,,,,,
real_2.jpg,REAL,hybrid,FAKE,0.9515135109424591,0.04848648905754094,0.9515135109424591,600,600,512–1023,450.61,,,,,
real_2.jpg,REAL,auto,FAKE,0.9515135109424591,0.04848648905754094,0.9515135109424591,600,600,512–1023,575.22,,,,,
real_2.jpg,REAL,multiscale,FAKE,0.9192,0.0808,0.9192,600,600,512–1023,2515.62,0.8384,1.0,1.0,0.0762,10.0
